date,registrations,modifications,time,hourlyrate
12/3/2012,348,82,3236,6.45
12/4/2012,1295,390,11537,6.73
12/5/2012,1600,126,8677,11.06
12/6/2012,1749,272,10616,9.89
12/7/2012,1800,364,10497,10.29
12/8/2012,0,57,849,0
12/9/2012,0,61,586,0
12/10/2012,2130,371,10971,11.65
12/11/2012,1807,438,10421,10.4
12/12/2012,1884,305,10846,10.42
12/13/2012,1798,368,10378,10.4
12/14/2012,1160,154,9558,7.28
12/17/2012,1921,121,8287,13.91
12/18/2012,2601,166,13240,11.79
12/19/2012,2408,238,14577,9.91
12/20/2012,2276,253,12819,10.65
12/21/2012,1949,141,11279,10.37
12/24/2012,926,101,5349,10.39
12/26/2012,1840,35,8032,13.75
12/27/2012,1832,424,10088,10.9
12/28/2012,1292,177,7894,9.82
12/31/2012,583,110,3893,8.99
1/2/2013,1678,242,7690,13.09
1/3/2013,1572,325,9830,9.6
1/4/2013,1419,199,8895,9.57
1/7/2013,2498,223,11245,13.33
1/8/2013,3110,282,14541,12.83
1/9/2013,2963,282,14547,12.22
1/10/2013,2335,494,13675,10.24
1/11/2013,1228,624,11877,6.2
1/14/2013,458,1195,8426,3.26
1/15/2013,798,677,8031,5.96
1/16/2013,817,618,8522,5.75
1/17/2013,455,700,6800,4.01
1/18/2013,358,860,7111,3.02
1/22/2013,134,791,5961,1.35
1/23/2013,801,831,8528,5.64
1/24/2013,1429,358,8696,9.86
1/25/2013,2207,197,10531,12.57
1/28/2013,1199,749,10048,7.16
1/29/2013,934,836,8302,6.75
1/30/2013,1081,602,7823,8.29
1/31/2013,810,961,7927,6.13
2/1/2013,508,1076,7499,4.06
2/4/2013,478,1103,7016,4.09
2/5/2013,598,1233,9550,3.76
2/6/2013,903,876,8115,6.68
2/7/2013,1143,731,8155,8.41
2/8/2013,1248,383,8192,9.14
2/11/2013,1337,523,9655,8.31
2/12/2013,1093,2052,10657,6.15
2/13/2013,1110,2793,12362,5.39
2/14/2013,983,2337,12636,4.67
2/15/2013,743,1711,9611,4.64
2/19/2013,1068,1625,10815,5.93
2/20/2013,1534,1041,11267,8.17
2/21/2013,970,1717,10265,5.67
2/22/2013,356,2180,8808,2.43
2/25/2013,675,3090,12003,3.37
2/26/2013,619,3098,9634,3.86
2/27/2013,638,1928,7232,5.29
2/28/2013,2173,757,12645,10.31
3/1/2013,1520,944,9768,9.34
3/4/2013,1600,1434,12242,7.84
3/5/2013,1202,2125,12308,5.86
3/6/2013,1132,1189,10653,6.38
3/7/2013,782,665,10402,4.51
3/8/2013,1263,720,9770,7.76
3/11/2013,323,2642,9998,1.94
3/12/2013,1101,2624,12668,5.21
3/13/2013,818,2653,12135,4.04
3/14/2013,729,2497,10550,4.15
3/15/2013,292,2525,9285,1.89
3/18/2013,537,2113,9072,3.55
3/19/2013,1120,2104,10715,6.27
3/20/2013,897,1788,11918,4.52
3/21/2013,776,2316,11051,4.21
3/22/2013,1409,1402,12857,6.58
3/25/2013,1107,1938,9953,6.67
3/26/2013,1145,1271,10680,6.43
3/27/2013,562,1130,8501,3.97
3/28/2013,783,1007,8325,5.64
3/29/2013,367,734,5839,3.77
4/1/2013,363,1236,6723,3.24
4/2/2013,1140,849,10163,6.73
4/3/2013,716,847,7731,5.56
4/4/2013,416,845,8615,2.9
4/5/2013,394,719,7688,3.07
4/8/2013,758,854,9351,4.86
4/9/2013,797,528,8834,5.41
4/10/2013,684,694,8575,4.79
4/11/2013,1070,573,9390,6.84
4/12/2013,500,617,7702,3.9
4/15/2013,414,936,9046,2.75
4/16/2013,502,539,6808,4.42
4/17/2013,457,1377,9044,3.03
4/18/2013,1786,558,11249,9.53
4/19/2013,2021,611,13244,9.16
4/22/2013,2172,594,12954,10.06
4/23/2013,2399,546,11721,12.28
4/24/2013,1465,1425,13630,6.45
4/25/2013,1444,1547,13750,6.3
4/26/2013,1402,1538,13086,6.43
4/29/2013,1108,1899,14266,4.66
4/30/2013,1552,1515,13246,7.03
5/1/2013,2146,1588,14014,9.19
5/2/2013,1824,2338,14521,7.54
5/3/2013,710,3236,12690,3.36
5/6/2013,866,3491,12782,4.07
5/7/2013,2714,1482,14973,10.88
5/8/2013,2789,1219,14848,11.27
5/9/2013,781,3216,12900,3.63
5/10/2013,688,2423,12189,3.39
5/13/2013,798,2858,12962,3.69
5/14/2013,998,2087,12079,4.96
5/15/2013,719,2246,11951,3.61
5/16/2013,890,2171,11987,4.45
5/17/2013,514,1922,9928,3.11
5/20/2013,420,3724,13788,1.83
5/21/2013,1434,1804,14125,6.09
5/22/2013,1865,1304,13423,8.34
5/23/2013,1077,1837,10897,5.93
5/24/2013,1316,1846,11321,6.97
5/28/2013,1724,1669,12804,8.08
5/29/2013,824,2437,11963,4.13
5/30/2013,761,2260,11089,4.12
5/31/2013,317,2332,11440,1.66
6/3/2013,548,2466,11892,2.76
6/4/2013,1410,1326,11972,7.07
6/5/2013,890,2253,11984,4.46
6/6/2013,246,2292,11598,1.27
6/7/2013,1811,1622,13280,8.18
6/10/2013,879,3391,11932,4.42
6/11/2013,841,3569,12867,3.92
6/12/2013,824,2559,11492,4.3
6/13/2013,560,3284,10999,3.05
6/14/2013,758,2120,12479,3.64
6/17/2013,817,3492,13696,3.58
6/18/2013,1524,2122,14337,6.38
6/19/2013,355,3553,13031,1.63
6/20/2013,372,1743,7636,2.92
6/25/2013,901,1707,12265,4.41
6/26/2013,1523,665,12045,7.59
6/27/2013,1942,692,13053,8.93
6/28/2013,2358,678,14454,9.79
7/1/2013,853,2504,11698,4.38
7/2/2013,566,3093,11655,2.91
7/3/2013,700,2214,10691,3.93
7/5/2013,70,871,4103,1.02
7/8/2013,526,2355,9939,3.18
7/9/2013,992,1894,12336,4.82
7/10/2013,499,3169,12070,2.48
7/11/2013,858,1593,11673,4.41
7/12/2013,487,1719,11437,2.55
7/15/2013,403,1369,9639,2.51
7/16/2013,1015,750,10038,6.07
7/17/2013,238,1466,9122,1.57
7/18/2013,223,1244,8628,1.55
7/19/2013,1482,617,10528,8.45
7/22/2013,2162,316,11982,10.83
7/23/2013,604,997,10621,3.41
7/24/2013,361,1013,10034,2.16
7/25/2013,260,563,7269,2.15
7/26/2013,291,412,7144,2.44
7/29/2013,1266,682,10742,7.07
7/30/2013,1637,700,13512,7.27
7/31/2013,562,675,9886,3.41
8/1/2013,519,643,8114,3.84
8/2/2013,663,323,7457,5.33
8/5/2013,419,472,8239,3.05
8/6/2013,701,357,9886,4.25
8/7/2013,518,513,8683,3.58
8/8/2013,422,254,6733,3.76
8/9/2013,954,189,7867,7.28
8/12/2013,637,545,9085,4.21
8/13/2013,2239,242,13165,10.2
8/14/2013,1336,227,11096,7.22
8/15/2013,657,736,12748,3.09
8/16/2013,444,347,6338,4.2
8/19/2013,801,123,6502,7.39
8/20/2013,799,20,5856,8.19
8/21/2013,606,337,4797,7.58
8/22/2013,2002,263,13185,9.11
8/23/2013,1739,100,12841,8.13
8/26/2013,1985,121,11753,10.13
8/27/2013,1643,212,11400,8.65
8/28/2013,536,478,7494,4.29
8/29/2013,670,162,7191,5.59
8/30/2013,1001,109,9053,6.63
9/3/2013,1871,362,9855,11.39
9/4/2013,2375,382,13265,10.74
9/5/2013,2031,436,12343,9.87
9/6/2013,2072,253,11430,10.88
9/9/2013,621,1139,10815,3.45
9/10/2013,698,914,13209,3.17
9/11/2013,1065,714,12367,5.17
9/12/2013,2296,234,12704,10.84
9/13/2013,1508,567,12749,7.1
9/16/2013,468,881,11905,2.36
9/17/2013,1717,776,17912,5.75
9/18/2013,891,606,13425,3.98
9/19/2013,395,557,10941,2.17
9/20/2013,380,578,9942,2.29
9/23/2013,2716,669,16683,9.77
9/24/2013,3433,732,18866,10.92
9/25/2013,4575,555,20248,13.56
9/26/2013,2302,495,17311,7.98
9/27/2013,537,1104,11368,2.83
9/30/2013,2511,856,16379,9.2
10/1/2013,1302,515,11697,6.68
10/2/2013,4063,280,17871,13.64
10/3/2013,4925,352,21053,14.04
10/4/2013,4620,148,18280,15.16
10/7/2013,1655,791,16957,5.86
10/8/2013,1316,1102,15232,5.18
10/9/2013,429,1039,13416,1.92
10/10/2013,780,1239,16469,2.84
10/11/2013,686,1139,13810,2.98
10/15/2013,546,471,12330,2.66
10/16/2013,809,176,10162,4.78
10/17/2013,1037,1359,15059,4.13
10/18/2013,644,1829,11957,3.23
10/21/2013,1087,1324,12440,5.24
10/22/2013,1310,1495,12016,6.54
10/23/2013,461,1039,10224,2.71
10/24/2013,1420,1364,14538,5.86
10/25/2013,638,925,8405,4.55
10/26/2013,1,26,296,0.2
10/28/2013,1214,743,11968,6.09
10/29/2013,328,978,11141,1.77
10/30/2013,701,855,11386,3.69
10/31/2013,653,384,10364,3.78
